s	Axis1	Axis2	Axis3
ERR912048	0.0466858874587169	0.0972886989486108	-0.013650076620765
ERR912049	0.0110732377430694	-0.0690903779223087	-0.0342569468686512
ERR912050	-0.110517821528075	-0.0348656470100631	-0.0129680559571665
ERR912051	0.0254420496862298	0.0333388233843389	-0.0804710041387515
ERR912052	0.0436972825754488	0.0854230825042307	0.0381233399663771
ERR912053	0.0290694809728654	0.0124476985675852	0.0532596288013457
ERR912054	0.0337848846415536	0.102125383979047	-0.0912755176722825
ERR912055	0.0401227463737004	0.0662244606815213	-0.0579345459103448
ERR912056	0.0237164663394278	-0.0308044501605609	-0.0040398625086947
ERR912057	-0.0597991246589193	0.0446891580345446	0.0397889462186151
ERR912058	-0.266734337121325	0.0392444351403029	-0.0414000545884563
ERR912059	-0.0186244890406805	0.0102836486956487	0.0540267934563017
ERR912060	-0.443574581624387	0.0344783059238238	-0.00146473181309494
ERR912061	-0.0171561311721321	-0.0390401917577125	0.000152810365353839
ERR912062	0.0186628076317967	-0.0666511947041193	-0.0149729697296154
ERR912063	0.0181783750063993	-0.0173175213982874	-0.0338852005659498
ERR912064	0.00948086637612964	-0.0565133133777149	-0.00847565318631625
ERR912065	0.0476257580251818	0.0887888117239103	0.100892927554483
ERR912066	0.00121113662078916	-0.0439271833762189	-0.00719313323203372
ERR912067	0.0235364434977169	0.00769122277447472	-0.0138569396768278
ERR912068	0.0406511059460417	0.0514377383627463	0.180285360816594
ERR912069	0.0234731706952809	-0.0444844683075469	0.0128141909600879
ERR912070	0.0251305584439966	0.00306434024613062	-0.029194354896451
ERR912071	0.0161419732682339	-0.028088354445426	-0.0249164011964948
ERR912072	0.00968485735984863	-0.0415709988207912	-0.00734154401153838
ERR912073	-0.16013094492219	0.121703312388722	-0.0479001975465345
ERR912074	0.015995270631175	-0.00709816223806476	0.0113552759279287
ERR912075	-0.117063804913312	0.0714692625282334	-0.0641997068040775
ERR912076	-0.000108312700183492	-0.0599701571098222	-0.0089739537464379
ERR912077	0.0227464532504492	-0.015324230893967	-0.00612143042269093
ERR912078	0.0246254576994917	0.0364939107872823	-0.0665720987620046
ERR912079	0.000369979074886682	-0.0763182965994269	-0.0169307539268911
ERR912080	0.0474523470439958	0.130036763719713	-0.1059079584407
ERR912081	0.0383155545748021	0.276103108103004	-0.174562800631001
ERR912082	0.0243369312983677	0.161513190927172	-0.129249059672864
ERR912083	0.0173152324940611	-0.0835230080464795	-0.0386381148084997
ERR912084	0.0267303792645946	-0.0113598324722827	0.0344779193236883
ERR912085	0.0188086219931234	-0.0125965961999405	-0.0265648506943798
