o	Axis1	Axis2	Axis3
ERR911997	-0.112674905820404	0.00986006019780248	0.0978425500750154
ERR911998	0.0689261223286581	0.0290052218710487	0.126190578691648
ERR911999	0.22227418314606	-0.0363115784750605	0.116345359641669
ERR912000	-0.179185227344783	0.0396179028182177	-0.0498765393623141
ERR912001	-0.201574649843806	-0.0371673917826819	-0.0170484236342468
ERR912002	-0.168890388606995	0.0553249196448735	-0.0750926383424531
ERR912003	-0.0221332013504416	0.0633511080779467	-0.0222056180554876
ERR912004	0.0932596685138286	0.107187223540609	-0.186295609573395
ERR912005	-0.282501776056704	0.00707108614742701	0.0410779889593948
ERR912006	-0.238412378770156	0.0346782410982836	-0.0154597078274663
ERR912007	0.0393017024978994	0.0270618992553398	0.0394960358518689
ERR912008	-0.22024012115505	0.0306986073112085	-0.0184345484862709
ERR912009	0.299006324086647	0.14973257666893	-0.159271345824655
ERR912010	0.301787744621792	0.116220328991357	-0.044797534982934
ERR912011	0.126733628896017	0.0437181277476048	0.060172260878437
ERR912012	0.0761695729939718	0.0244438293778795	0.0201190143038484
ERR912013	0.069093074408645	-0.0160586645536398	0.0934004461979009
ERR912014	0.0449495578823238	0.0185732962357944	0.0160932728669707
ERR912015	0.253039040616657	0.0683579643122641	0.140675372218117
ERR912016	-0.0188422095575402	0.0376412276228007	0.102570400467122
ERR912017	0.143716535246519	0.0696475667727719	0.116993262551598
ERR912018	0.229761043142689	0.0672941408619221	-0.11896371233551
ERR912019	0.31314333891649	0.0801057645088206	0.0331064606871827
ERR912020	0.239083408356828	0.0416926703818735	0.0279929850978813
ERR912021	0.093233864721325	0.0473762183722226	-0.0243034833665569
ERR912022	0.25767888125391	-0.00347293525233396	-0.217204683543394
ERR912023	-0.150372244621412	0.0490952458002822	-0.0313117736683469
ERR912024	-0.279823868038015	0.0431408086358982	-0.0500834050042825
ERR912025	-0.233265265045717	0.0213334984965943	-0.00590426482821664
ERR912026	0.0344743195153964	-0.0243195712580049	0.116321516619327
ERR912027	0.191824429790344	0.0329496864842251	0.086213674867347
ERR912028	0.23482616993966	0.0751356999274501	-0.0306261646373696
ERR912029	0.372082266774226	0.0502967362165787	-0.00694550439014065
ERR912030	0.231570742790206	0.0550245679301698	0.0336785757150717
ERR912031	0.256193929736758	0.06980917310128	-0.05081268591105
ERR912032	-0.0291412005665931	0.0295530748235395	0.00403369023766431
ERR912033	0.126689988652932	-0.217255815207618	-0.0028664553885896
ERR912034	0.0600722534758387	0.0222076904182191	0.0609637160407557
ERR912035	-0.1001791572653	0.0915417535829205	-0.209344914661688
ERR912036	0.132317800538541	-0.000858723007526203	0.111043202760085
ERR912037	-0.0767296241909408	-0.467335731052254	-0.116604264999994
ERR912038	-0.0238386345919844	-0.100909653856846	-0.128483817255074
ERR912039	0.0450801231750082	-0.0511155559218636	0.00895759439373635
ERR912040	-0.103009087421404	-0.193264583440325	-0.0250343314986786
ERR912041	0.0460785213980496	0.125122729640218	-0.225291117203613
ERR912042	0.223039869326472	-0.403007730982999	-0.0378274342682323
ERR912043	-0.162510332199702	-0.0734217673528042	0.0203610217334489
ERR912044	0.292297572126173	0.0160993936982376	0.0206065887451098
ERR912045	0.21643587766518	-0.48200309160833	-0.091179185650057
ERR912046	0.218963427448994	0.0473776320707198	0.0135788599860783
ERR912047	0.3083629553771	-0.250911295531023	0.0125761518132184
ERR912048	-0.267197835296575	0.00480517835627055	0.0628556739006137
ERR912049	0.17723470014607	0.0918674489532508	0.0511851998316954
ERR912050	0.151236819006039	-0.198176926132692	0.0938619338856432
