f	Axis1	Axis2	Axis3
ERR912001	-0.240124593452826	0.0191112634589417	0.00895048562221016
ERR912002	-0.198286800051266	-0.0761641202147403	0.055847587097905
ERR912003	-0.0549479633672012	-0.071860901504865	0.035012850075733
ERR912004	0.0293082225171328	-0.169638653973544	0.150092240403924
ERR912005	-0.13633408723991	0.0304101234246593	-0.0952943843883552
ERR912006	-0.268548252997732	-0.0423485093012349	0.0148255382856623
ERR912007	0.0936575355915365	-0.00340346115880089	-0.0494606946564503
ERR912008	-0.142979886200381	-0.0245965344627666	-0.00509451755566614
ERR912009	0.2145323440539	-0.204524531881971	0.167593857007648
ERR912010	0.21284463300107	-0.132063836039609	0.0875324023047156
ERR912011	0.12009981418553	-0.0158152024500045	-0.0370114629878411
ERR912012	0.154074996307387	-0.0137181436514858	-0.0573549149024331
ERR912013	0.124843332088009	0.0384292711711101	-0.104781079006437
ERR912014	0.0515762246549794	0.000128544155947982	-0.00943729127706268
ERR912015	0.154544263793307	-0.0134401924596144	-0.0666217722268531
ERR912016	-0.0405042825314502	0.00286741606950393	-0.0687802994342398
ERR912017	0.0965269098921251	-0.012416171786944	-0.0651636461731473
ERR912018	0.13446315502622	-0.115458593563171	0.0883225104331903
ERR912019	0.223984989259841	-0.068175119422723	0.000826993748375935
ERR912020	0.140106415116756	-0.0236029773988891	0.00902633190014475
ERR912021	0.103153385931726	-0.0457557295665831	-0.010479033484775
ERR912022	0.159900706384491	-0.0662980721961266	0.0873734290287742
ERR912023	0.0121661707556688	-0.0370096320732685	0.0195067106397749
ERR912024	-0.288640550242703	-0.0506479075601304	0.0204867032093303
ERR912025	-0.275235858422962	-0.02768980101761	-0.000647942383254778
ERR912026	0.097365642665705	0.0596196677584473	-0.134698993473247
ERR912027	0.0704488336651278	-0.0234741171389578	-0.0236670558373808
ERR912028	0.116066619132696	-0.0858605496500682	0.0418940891667775
ERR912029	0.251644859713758	-0.0807378620051539	0.0414113033303619
ERR912030	0.144252845120634	-0.0468519818507707	-0.0183768465513533
ERR912031	0.154262440031194	-0.0984972965900046	0.0608270735560158
ERR912032	-0.00124177242421602	-0.0229658242277897	-0.0262880104261585
ERR912033	0.0830599718451599	0.20051386730364	0.0844146809032076
ERR912034	0.0241479199914501	-0.0127783986040288	-0.0397635761239468
ERR912035	-0.154581884825227	-0.148781349943268	0.137456840044384
ERR912036	0.096203956628071	0.0320957816590797	-0.0784347906781721
ERR912037	-0.0357151085007323	0.413697319762237	0.219274994491715
ERR912038	-0.134713030313849	0.0453746795729109	0.168133661865425
ERR912039	0.142105548375663	0.0474099698731658	-0.123558068691457
ERR912040	-0.0993167586927348	0.176461806259418	0.0590961119444536
ERR912041	-0.0110636500354716	-0.195458791576215	0.166835210600896
ERR912042	0.172435607770856	0.369357575033483	0.175384101058058
ERR912043	-0.0782468864375755	0.0866523125529408	-0.0218103445719786
ERR912044	0.184664159646414	-0.0316854136166018	0.00890827349586651
ERR912045	0.122937223885006	0.410171673923812	0.225536218129229
ERR912046	0.126815380004149	-0.0603804243291692	0.0247605558304595
ERR912047	0.227463899166235	0.227055720727577	0.0740004300547375
ERR912048	-0.203729502735377	0.0304379175585103	-0.0752666119605178
ERR912049	0.135839612176716	-0.0673393012919394	0.00528376753482782
ERR912050	0.158127279977912	0.195670090513983	-0.0206108826243469
ERR912051	0.0428998596630875	-0.0390824420267389	-0.026751735250778
ERR912052	-0.248360221387199	-0.0745923867993577	0.0540840004061816
ERR912053	-0.242583334770548	-0.0645614345574762	0.0408236661334373
ERR912054	-0.255405479490118	-0.0106288738925216	-0.00289791342123269
ERR912055	-0.290359662450823	-0.0473722000218287	0.0252789435995433
ERR912056	-0.00646752709840827	-0.0163707452685387	-0.0362572864707007
ERR912057	0.0137494454830201	0.037298201944258	0.0924872368993531
ERR912058	0.00316729531012917	0.331778178464996	0.17850184575611
ERR912059	-0.101460048858643	0.0257720917356591	0.0130853587961463
ERR912060	0.211276593254716	0.523293237662345	0.323300769740479
ERR912061	0.126780519904534	-0.0499964850000568	0.0375636750762634
ERR912062	-0.140974567078036	-0.0365046699623648	-0.00341138145551812
ERR912063	0.121436437912719	-0.100481650084224	0.0590725257672204
ERR912064	0.0958255526118194	-0.10494737628519	0.054930474772049
ERR912065	-0.238807791730111	-0.0326142955125963	0.00247584198637777
ERR912066	0.0873633107291648	0.0784566596995924	-0.118477778504188
ERR912067	0.0518652705605975	-0.0788802215311583	0.038196876822933
ERR912068	-0.366989251071321	-0.0714207052414764	0.0661989215160293
ERR912069	-0.0380670216492062	-0.0860889591409909	0.045051371413811
ERR912070	-0.0312410034080029	0.0501395755695905	-0.0969876170863359
ERR912071	0.122771708772103	-0.0675381124525034	0.0321171855980044
ERR912072	0.0468510874881491	0.0556809693724927	-0.148577499799851
ERR912073	-0.327032803087792	0.235802507060583	0.156448655092116
ERR912074	-0.0728898309501749	-0.0651358763538816	0.0259013241490031
ERR912075	0.0256586530382232	0.214400135399229	0.0930130078480151
ERR912076	0.212985986515779	0.0618120919682555	-0.136077135154249
ERR912077	-0.0632356907610971	-0.0251802349360649	-0.0193230095666208
ERR912078	-0.0204491525694556	0.0244915210777859	-0.05900695162761
ERR912079	0.200239181916965	0.0648453845813926	-0.129872237868232
ERR912080	-0.222054372120098	-0.00632091036965556	-0.0355044222498034
ERR912081	-0.472179604620217	0.0714805529242878	-0.020363718312545
ERR912082	-0.511680076020511	0.0227435999678366	0.00914527889996178
ERR912083	-0.172883450435235	-0.0345208437440482	-0.00701383731355993
ERR912084	0.0158650914118416	-0.0363774457501865	-0.0308156527441642
ERR912085	0.0605680306736405	-0.00770312548924538	-0.0788032631876357
ERR912086	0.0367068470666281	-0.00595185341815778	-0.0599050238314787
